Angle, RP
0.0000,0.0000
0.6804,0.0214
1.3607,0.0429
2.0411,0.0643
2.7214,0.0857
3.4018,0.1072
4.0821,0.1286
4.7625,0.1500
5.4428,0.1714
6.1232,0.1928
6.8035,0.2143
7.4839,0.2357
8.1642,0.2571
8.8446,0.2784
9.5250,0.2998
10.2053,0.3212
10.8857,0.3426
11.5660,0.3639
12.2464,0.3853
12.9267,0.4066
13.6071,0.4279
14.2874,0.4492
14.9678,0.4705
15.6481,0.4918
16.3285,0.5131
17.0088,0.5344
17.6892,0.5556
18.3696,0.5768
19.0499,0.5981
19.7303,0.6192
20.4106,0.6404
21.0910,0.6616
21.7713,0.6827
22.4517,0.7038
23.1320,0.7249
23.8124,0.7460
24.4927,0.7670
25.1731,0.7881
25.8534,0.8091
26.5338,0.8300
27.2141,0.8510
27.8945,0.8719
28.5749,0.8928
29.2552,0.9137
29.9356,0.9345
30.6159,0.9553
31.2963,0.9760
31.9766,0.9968
32.6570,1.0175
33.3373,1.0381
34.0177,1.0587
34.6980,1.0793
35.3784,1.0998
36.0587,1.1203
36.7391,1.1408
37.4195,1.1612
38.0998,1.1815
38.7802,1.2018
39.4605,1.2221
40.1409,1.2423
40.8212,1.2624
41.5016,1.2825
42.1819,1.3026
42.8623,1.3226
43.5426,1.3425
44.2230,1.3624
44.9033,1.3822
45.5837,1.4019
46.2641,1.4216
46.9444,1.4412
47.6248,1.4607
48.3051,1.4802
48.9855,1.4996
49.6658,1.5189
50.3462,1.5381
51.0265,1.5572
51.7069,1.5763
52.3872,1.5953
53.0676,1.6141
53.7479,1.6329
54.4283,1.6516
55.1087,1.6702
55.7890,1.6888
56.4694,1.7072
57.1497,1.7255
57.8301,1.7437
58.5104,1.7617
59.1908,1.7797
59.8711,1.7976
60.5515,1.8153
61.2318,1.8329
61.9122,1.8504
62.5925,1.8678
63.2729,1.8850
63.9532,1.9021
64.6336,1.9190
65.3140,1.9358
65.9943,1.9524
66.6747,1.9689
67.3550,1.9853
68.0354,2.0014
